@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,3,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047331,0.21007,10.649578,44.56253,23.774438,8.769911,15.004526,1.584963,0.584661,1.000302,21.510567,1.434038,90.47771,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0.001,0.00032,0.000405,0.32,0.405,12262,10633,2353,93.333333,33.333333,?
iris,3,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.157054,10.661765,33.316208,23.774438,2.267401,21.507036,1.584963,0.15116,1.433802,21.507036,1.433802,90.46286,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.001,0.001,0.000361,0.001072,0.361,1.072,12262,10633,2353,100,37.777778,?
iris,4,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,13,2,0,86.666667,13.333333,0,0.8,0.076689,0.210583,17.255037,44.671414,23.774438,3.841743,19.932695,1.584963,0.256116,1.328846,19.932695,1.328846,83.840868,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.98,0.956508,0.866667,0.866667,0,0,0.000176,0.000277,0.176,0.277,12262,10633,2353,100,40,?
iris,4,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.017974,0.070612,4.044118,14.97908,23.774438,0.689528,23.084909,1.584963,0.045969,1.538994,23.084909,1.538994,97.099707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0.000169,0.000372,0.169,0.372,12262,10633,2353,100,35.555556,?
iris,4,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,13,2,0,86.666667,13.333333,0,0.8,0.076797,0.252606,17.279412,53.585741,23.774438,10.34955,13.424887,1.584963,0.68997,0.894992,19.930928,1.328729,83.833436,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.943333,0.891111,0.866667,0.866667,0,0.001,0.000175,0.000347,0.175,0.347,12262,10633,2353,93.333333,35.555556,?
iris,4,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.157054,10.661765,33.316208,23.774438,2.267401,21.507036,1.584963,0.15116,1.433802,21.507036,1.433802,90.46286,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.993333,0.977778,0.93266,0.933333,0.004,0.002,0.002814,0.001666,2.814,1.666,12262,10633,2353,100,37.777778,?
iris,4,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003214,0.003416,0.723107,0.724543,23.774438,0.104576,23.669862,1.584963,0.006972,1.577991,23.669862,1.577991,99.560134,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.000173,0.000653,0.173,0.653,12262,10633,2353,100,33.333333,?
iris,4,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047331,0.21007,10.649578,44.56253,23.774438,8.769911,15.004526,1.584963,0.584661,1.000302,21.510567,1.434038,90.47771,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0.003,0.000162,0.002219,0.162,2.219,12262,10633,2353,93.333333,33.333333,?
iris,4,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003214,0.003416,0.723107,0.724543,23.774438,0.104576,23.669862,1.584963,0.006972,1.577991,23.669862,1.577991,99.560134,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.003,0.000185,0.002642,0.185,2.642,12262,10633,2353,100,33.333333,?
iris,4,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0.000142,0.00021,0.142,0.21,12262,10633,2353,100,33.333333,?
